"Название песни",Просмотры
20 Лет Спустя (с аккордами),19166
Hе Умирай Любовь (с аккордами),15238
"А где-то... (с аккордами)",2878
"Анастасия",42799
"Белый Теплоход (с аккордами)",7730
"Вот как бывает",3141
"Вот Так Бывает (с аккордами)",2167
"Все как прежде",1604
"Гуси-лебеди (с аккордами)",5314
"Дорога К Морю (с аккордами)",2031
"Дорога к морю",2447
"Если любишь ты",3740
"Если пойдём в двоём",1646
"Есть улицы центpальные",7184
"Есть Улицы Центральные (с аккордами)",2374
"Жизнь играет с нами в прятки",7309
"Зеpкало",2089
"Зеркало",37708
"Золотая лестница (с аккордами)",4012
"Крыша Дома Твоего (с аккордами)",2937
"Маки",1469
"Маки (с аккордами)",1264
"Мечты Сбываются",5699
"Мое Богатство (с аккордами)",2063
"Море, Море... (с аккордами)",5687
"На Высоком Берегу (с аккордами)",1711
"На Улице Каштановой (с аккордами)",1578
"Не Говорите Мне Прощай",3479
"Не Забывай (Если Любовь Не Сбудется...) (с аккордами)",2623
"Несет Меня Течение (с аккордами)",2358
"Несёт Меня Течение",1127
"Нет Тебя Прекрасней (с аккордами)",5828
"О Тебе и Обо Мне",1971
"От Печали до Pадости",2474
"Переулочки Арбата",807
"Снегири",1931
"Снегири (с аккордами)",2589
"Третий День",1344
"У Берез и Сосен",4753
"Хмельная Сирен. (с аккордами)",1291
"Хмельная Сирень (с аккордами)",356
"Я Вспоминаю",4177
"Я Иду К Тебе На Встречу (с аккордами)",4341
"Я Иду Тебе Навстречу",3098
